category,type,product_group,brand,product_name,size_mm,size_inch,product_code,length,unit,mrp,selling_price,purchase_price,discount,image_url,is_active
Valves,CPVC,(FLOWER),Astral,(FLOWER),,,M5121110401,,pcs,1272,1272,,,,true
Valves,CPVC,(FLOWER),Astral,(FLOWER),,,M5121110402,,pcs,1566,1566,,,,true
Valves,CPVC,(FLOWER),Astral,(FLOWER),,,M5121110403,,pcs,1834,1834,,,,true
Valves,CPVC,(SQUARE),Astral,(SQUARE),,,M5121113302,,pcs,1573,1573,,,,true
Valves,CPVC,(SQUARE),Astral,(SQUARE),,,M5121113303,,pcs,1804,1804,,,,true
Valves,CPVC,(SQUARE),Astral,(SQUARE),,,M5121113402,,pcs,1326,1326,,,,true
Valves,CPVC,(SQUARE),Astral,(SQUARE),,,M5121113403,,pcs,1598,1598,,,,true
Fittings,CPVC,(ROUND),Astral,(ROUND),,,M512118001,,pcs,22,22,,,,true
Fittings,CPVC,(ROUND),Astral,(ROUND),,,M512118002,,pcs,33,33,,,,true
Fittings,CPVC,(ROUND),Astral,(ROUND),,,M512118003,,pcs,48,48,,,,true
Fittings,CPVC,(ROUND),Astral,(ROUND),,,M512118004,,pcs,76,76,,,,true
Fittings,CPVC,(ROUND),Astral,(ROUND),,,M512118005,,pcs,90,90,,,,true
Fittings,CPVC,(ROUND),Astral,(ROUND),,,M512118006,,pcs,142,142,,,,true
Pipes & Tubing,CPVC,SOLVENT CEMENTS,Astral,SOLVENT CEMENTS,,,M003605005,,pcs,170,170,,,,true
Pipes & Tubing,CPVC,SOLVENT CEMENTS,Astral,SOLVENT CEMENTS,,,M003605030,,pcs,217,217,,,,true
Pipes & Tubing,CPVC,SOLVENT CEMENTS,Astral,SOLVENT CEMENTS,,,M003605035,,pcs,377,377,,,,true
Pipes & Tubing,CPVC,SOLVENT CEMENTS,Astral,SOLVENT CEMENTS,,,M003605040,,pcs,775,775,,,,true
Pipes & Tubing,CPVC,SOLVENT CEMENTS,Astral,SOLVENT CEMENTS,,,M003605045,,pcs,1365,1365,,,,true
Pipes & Tubing,CPVC,(YELLOW),Astral,(YELLOW),,,M004901013,,pcs,165,165,,,,true
Pipes & Tubing,CPVC,(YELLOW),Astral,(YELLOW),,,M004901014,,pcs,220,220,,,,true
Pipes & Tubing,CPVC,(YELLOW),Astral,(YELLOW),,,M004901016,,pcs,360,360,,,,true
Pipes & Tubing,CPVC,(YELLOW),Astral,(YELLOW),,,M004901017,,pcs,835,835,,,,true
